person,personLabel,cricinfoIdLabel,Wikipedia_page_links,Wikipedia_image_link
http://www.wikidata.org/entity/Q4714110,Alec Coxon,10850,https://en.wikipedia.org/wiki/Alec_Coxon,File:Aleccoxon.jpg
http://www.wikidata.org/entity/Q528952,Jackie Grant,51896,https://en.wikipedia.org/wiki/Jackie_Grant,File:Jackie_Grant.jpg
http://www.wikidata.org/entity/Q7373117,Roy Marshall,52422,https://en.wikipedia.org/wiki/Roy_Marshall,File:Roy_Marshall_of_West_Indies.jpg
http://www.wikidata.org/entity/Q23409779,Wayne Phillip,52688,https://en.wikipedia.org/wiki/Wayne_Phillip,nan
http://www.wikidata.org/entity/Q7421708,Sara McGlashan,54527,https://en.wikipedia.org/wiki/Sara_McGlashan,File:Sara_McGlashan_2.jpg
http://www.wikidata.org/entity/Q6990259,Nelly Williams,55164,https://en.wikipedia.org/wiki/Nelly_Williams,nan
http://www.wikidata.org/entity/Q3345580,Tamim Iqbal,56194,https://en.wikipedia.org/wiki/Tamim_Iqbal,File:Tamim_Iqbal_Khan.jpg
http://www.wikidata.org/entity/Q21964928,Ian Hewett,5646,https://en.wikipedia.org/wiki/Ian_Hewett,nan
http://www.wikidata.org/entity/Q4688906,Affie Jarvis,6014,https://en.wikipedia.org/wiki/Affie_Jarvis,File:Affie_Jarvis_c1895.jpg
http://www.wikidata.org/entity/Q6521835,Len Johnson,6031,https://en.wikipedia.org/wiki/Len_Johnson_(cricketer),File:Len_Johnson.jpg
http://www.wikidata.org/entity/Q41367,Shane Jurgensen,6057,https://en.wikipedia.org/wiki/Shane_Jurgensen,nan
http://www.wikidata.org/entity/Q5524368,Garth McKenzie,6576,https://en.wikipedia.org/wiki/Graham_McKenzie,nan
http://www.wikidata.org/entity/Q7109750,Otto Nothling,6944,https://en.wikipedia.org/wiki/Otto_Nothling,File:OttoNothling.jpg
http://www.wikidata.org/entity/Q6263181,John Watkins,8173,https://en.wikipedia.org/wiki/John_Watkins_(Australian_cricketer),nan
http://www.wikidata.org/entity/Q2732224,Shane Watson,8180,https://en.wikipedia.org/wiki/Shane_Watson,File:SHANE_WATSON_(11705862116).jpg
http://www.wikidata.org/entity/Q12976388,Kabir Ali,8476,https://en.wikipedia.org/wiki/Kabir_Ali,File:Kabir_Ali_Worcestershire.jpg
http://www.wikidata.org/entity/Q6790195,Matthew Boyce,10628,https://en.wikipedia.org/wiki/Matthew_Boyce,nan
http://www.wikidata.org/entity/Q5294153,Donald Carr,10668,https://en.wikipedia.org/wiki/Donald_Carr,nan
http://www.wikidata.org/entity/Q7334335,Brian Close,10754,https://en.wikipedia.org/wiki/Brian_Close,File:Brian_Close.jpg
http://www.wikidata.org/entity/Q3528213,John Dewes,11883,https://en.wikipedia.org/wiki/John_Dewes,nan
http://www.wikidata.org/entity/Q7150723,Paul Franks,12906,https://en.wikipedia.org/wiki/Paul_Franks,nan
