Jersey_Number,Player_Name,Country
47,Wahab Riaz,Pakistan
48,Anwar Ali,Pakistan
50,Saeed Ajmal,Pakistan
56,Babar Azam,Pakistan
76,Mohammad Irfan,Pakistan
77,Nasir Jamshaid,Pakistan
78,Zulfiqar Babar,Pakistan
96,Umar Akmal,Pakistan
4,Jonathan Trott,Engand
7,Ian Bell,Engand
8,Stuart Broad,Engand
9,James Anderson,Engand
14,Andrew Strauss,Engand
16,Eoin Morgan,Engand
19,Moeen Ali,Engand
20,Tim Bresnan,Engand
26,Alastair Cook,Engand
34,Chris Jordan,Engand
35,Alex Hales,Engand
42,Ravi Bopara,Engand
45,Michael Lomb,Engand
46,Jade Dembach,Engand
49,Michael Carberry,Engand
51,Johnny Bairstow,Engand
53,James Tredwell,Engand
55,Ben Stokes,Engand
59,Ben Stokes,Engand
61,Joe Root,Engand
63,Jos Buttler,Engand
68,Boyd Rankin,Engand
77,Monty Panesar,Engand
99,Michael Vaughan,Engand
3,Ross Taylor,New Zealand
10,Neil Wagner,New Zealand
12,Kyle Jamieson,New Zealand
18,Trent Boult,New Zealand
21,Matt Henry,New Zealand
22,Kane Williamson,New Zealand
24,Ajaz Patel,New Zealand
28,William Somerville,New Zealand
31,Martin Guptill,New Zealand
32,Will Young,New Zealand
38,Tim Southee,New Zealand
43,Tim Seifert,New Zealand
47,Bradley John Watling,New Zealand
48,Tom Latham,New Zealand
50,James Neesham,New Zealand
61,Ish Sodhi,New Zealand
66,Tom Blundell,New Zealand
74,Mitchell Santner,New Zealand
77,Colin de Grandhomme,New Zealand
82,Colin Munro,New Zealand
86,Henry Nicholls,New Zealand
87,Lachlan Ferguson,New Zealand
88,Devon Conway,New Zealand
1,Jomel Warrican,West Indies
2,Shimron Hetmyer,West Indies
3,Darren Bravo,West Indies
4,Shai Hope,West Indies
5,Ashley Nurse,West Indies
8,Nicholas Pooran,West Indies
10,Roston Chase,West Indies
12,Andre Russell,West Indies
13,Shamarh Brooks,West Indies
16,Romario Shepherd,West Indies
17,Evin Lewis,West Indies
18,Alzarri Joseph,West Indies
18,Khary Pierre,West Indies
19,Sheldon Cottrell,West Indies
24,Kemar Roach,West Indies
26,Carlos Brathwaite,West Indies
32,John Campbell,West Indies
42,Oshane Thomas,West Indies
44,Jahmar Hamilton,West Indies
47,Dwayne Bravo,West Indies
50,Sherfane Rutherford,West Indies
52,Rovman Powell,West Indies
53,Brandon King,West Indies
54,Lendl Simmons,West Indies
55,Kieron Pollard,West Indies
60,Kesrick Williams,West Indies
74,Sunil Narine,West Indies
80,Denesh Ramdin,West Indies
84,Keemo Paul,West Indies
85,Shannon Gabriel,West Indies
86,Hayden Walsh Jr,West Indies
91,Shane Dowrich,West Indies
92,Kraigg Brathwaite,West Indies
93,Rahkeem Cornwall,West Indies
97,Fabian Allen,West Indies
98,Jason Holder,West Indies
99,Sunil Ambris,West Indies
1,Thisara Perera,Sri Lanka
7,Dasun Shanaka,Sri Lanka
8,Lahiru Kumara,Sri Lanka
13,Priyamal Perera,Sri Lanka
13,Kusal Mendis,Sri Lanka
15,Minod Bhanuka,Sri Lanka
16,Dimuth Karunaratne,Sri Lanka
17,Isuru Udana,Sri Lanka
20,Shehan Madushanka,Sri Lanka
23,Sadeera Samarawickrama,Sri Lanka
28,Avishka Fernando,Sri Lanka
31,Shehan Jayasuriya,Sri Lanka
36,Dinesh Chandimal,Sri Lanka
44,Upul Tharanga,Sri Lanka
45,Lahiru Madushanka,Sri Lanka
46,Jeffrey Vandersay,Sri Lanka
47,Dilruwan Perera,Sri Lanka
48,Niroshan Dickwella,Sri Lanka
49,Wanidu Hasaranga,Sri Lanka
54,Bhanuka Rajapaksa,Sri Lanka
55,Kusal Perera,Sri Lanka
57,Milinda Siriwardena,Sri Lanka
63,Nuwan Pradeep,Sri Lanka
65,Kasun Rajitha,Sri Lanka
66,Lahiru Thirimanne,Sri Lanka
68,Vishwa Fernando,Sri Lanka
69,Angelo Mathews,Sri Lanka
70,Dhanushka Gunathilaka,Sri Lanka
74,Angelo Perera,Sri Lanka
75,Dhananjaya de Silva,Sri Lanka
80,Oshada Fernando,Sri Lanka
82,Suranga Lakmal,Sri Lanka
84,Kamindu Mendis,Sri Lanka
85,Lakshan Sandakan,Sri Lanka
87,Malinda Pushpakumara,Sri Lanka
88,Jeevan Mendis,Sri Lanka
91,Lahiru Gamage,Sri Lanka
96,Lasith Embuldeniya,Sri Lanka
99,Lasith Malinga,Sri Lanka
1,Sabbir Rahman,Bangladesh
2,Mashrafe Mortaza,Bangladesh
3,Taskin Ahmed,Bangladesh
7,Mominul Haque,Bangladesh
8,Mohammad Mithun,Bangladesh
10,Shadman Islam,Bangladesh
12,Taijul Islam,Bangladesh
14,Abu Jayed,Bangladesh
14,Abu Hider,Bangladesh
15,Mushfiqur Rahim,Bangladesh
16,Liton Das,Bangladesh
18,Afif Hossain,Bangladesh
23,Mohammad Naim,Bangladesh
28,Tamim Iqbal,Bangladesh
30,Mahmudullah,Bangladesh
32,Mosaddek Hossain,Bangladesh
33,Nayeem Hasan,Bangladesh
34,Rubel Hossain,Bangladesh
45,Imrul Kayes,Bangladesh
53,Mehidy Hasan Miraz,Bangladesh
59,Soumya Sarkar,Bangladesh
74,Mohammad Saifuddin,Bangladesh
75,Shakib Al Hasan,Bangladesh
90,Mustafizur Rahman,Bangladesh
96,Ebadot Hossain,Bangladesh
99,Nazmul Hossain Shanto,Bangladesh
1,Najibullah Zadran,Afghanistan
3,Fazal Niazai,Afghanistan
7,Mohammad Nabi,Afghanistan
8,Rahmat Shah,Afghanistan
11,Karim Janat,Afghanistan
14,Gulbadin Naib,Afghanistan
16,Waqar Salamkheil,Afghanistan
17,Ibrahim Zadran,Afghanistan
19,Rashid Khan,Afghanistan
20,Shapoor Zadran,Afghanistan
21,Rahmanullah Gurbaz,Afghanistan
32,Qais Ahmad,Afghanistan
32,Aftab Alam,Afghanistan
33,Nasir Jamal,Afghanistan
44,Asghar Afghan,Afghanistan
45,Samiullah Shenwari,Afghanistan
46,Ikram Alikhil,Afghanistan
