ID,AWARDS
16665,[]
16664,[]
16401,[]
16356,[]
16663,[]
16662,[]
16661,[]
16660,[]
53806,[]
53805,[]
16726,[]
53700,[]
460076,[]
16355,[]
338602,[]
16659,[]
16844,[]
16354,[]
646227,[]
17566,[]
17565,[]
260142,[]
305916,[]
211511,[]
17205,[]
298699,[]
407875,[]
17564,[]
737361,[]
901671,[]
1146471,[]
293570,[]
17563,[]
537010,[]
16874,[]
17782,[]
16658,[]
16840,[]
16400,[]
16656,[]
16725,[]
641415,[]
747395,[]
16820,[]
16821,[]
1111978,[]
580565,[]
17020,[]
1095816,[]
17562,[]
17018,"['Wisden Cricketer of the Year 1967', 'Walter Lawrence Trophy 1969']"
17561,[]
17016,[]
1093092,[]
17560,[]
211039,[]
874199,[]
17558,[]
1149110,[]
17557,[]
17015,[]
17555,[]
17554,[]
576958,[]
1148476,[]
1158590,[]
308284,[]
16655,[]
16351,[]
53803,[]
16407,[]
16350,[]
16425,[]
323803,[]
906509,[]
16654,[]
16349,[]
16348,[]
16353,[]
16352,[]
16724,[]
16653,[]
17802,[]
17552,[]
17553,[]
17551,[]
17550,[]
17013,[]
1146064,[]
1014751,[]
17549,[]
17877,[]
17876,[]
17548,[]
294041,[]
17875,[]
17011,[]
17547,[]
17546,[]
17874,[]
17873,[]
16652,[]
16347,[]
362202,[]
16741,[]
16388,['NBC Denis Compton Award 1999']
16345,[]
894033,[]
532863,[]
543579,[]
1146768,[]
399311,[]
16651,[]
16650,[]
879259,[]
16649,[]
419178,[]
537960,[]
16819,[]
16789,[]
17545,[]
17010,[]
17151,[]
17140,[]
17872,[]
17544,[]
1148594,[]
360453,[]
17009,[]
17871,[]
17870,[]
17869,[]
53817,[]
17543,[]
17971,[]
17007,[]
1150952,[]
17223,[]
17006,[]
535478,[]
536335,[]
536232,[]
16648,[]
16647,[]
16646,[]
16733,[]
16645,[]
16644,[]
257371,[]
1153323,[]
587619,[]
16393,[]
1094111,[]
635998,[]
16643,[]
266390,[]
16344,[]
16833,[]
16642,[]
16641,[]
16343,[]
16342,[]
16640,[]
16855,[]
16418,[]
16639,[]
17005,[]
893957,[]
362565,[]
17868,[]
17781,[]
17542,[]
17972,[]
17156,[]
17541,[]
17540,[]
17004,[]
779999,[]
17973,[]
906487,[]
17539,[]
17237,[]
17780,[]
17003,[]
17538,[]
16103,[]
638705,[]
16818,[]
16638,[]
16817,[]
16341,[]
16723,[]
16816,[]
16637,[]
16636,[]
16815,[]
16731,[]
16635,[]
16634,[]
16633,[]
258556,[]
16340,[]
16339,[]
16338,[]
16632,[]
627606,[]
8473,[]
275569,[]
8468,[]
17002,[]
17001,[]
17239,[]
17537,[]
17536,[]
17179,[]
590323,[]
17535,[]
17779,[]
17534,[]
17533,[]
17532,[]
17531,[]
17530,[]
17529,[]
17000,[]
338641,[]
17528,[]
17527,[]
1039549,[]
770737,[]
647565,[]
16113,[]
16163,[]
354622,[]
562665,[]
659861,[]
15927,[]
15926,[]
16102,[]
434162,[]
589199,[]
16160,[]
15924,[]
311433,[]
16101,[]
1027755,[]
459258,[]
16337,['Wisden Cricketer of the Year 1889']
16335,[]
767447,[]
16631,[]
16814,[]
16813,[]
349983,[]
465824,[]
16333,[]
16630,[]
16629,[]
16328,['Wisden Cricketer of the Year 1899']
53802,[]
16628,[]
16627,[]
16626,[]
16625,[]
16327,[]
268519,[]
270101,[]
8472,[]
8471,[]
8466,"['First Australia to take 100 first-class wickets before the age of 21', 'Retired from first-class cricket at the age of 23 due to injury']"
8474,[]
379504,[]
8465,[]
8469,[]
8470,[]
17526,[]
568983,[]
17525,[]
17867,[]
17866,[]
17524,[]
17865,[]
17523,[]
17522,[]
17778,[]
17521,[]
590345,[]
566777,[]
16999,[]
17176,[]
1126822,[]
17864,[]
17519,[]
16100,[]
470633,[]
1023393,[]
16151,[]
1029017,[]
16099,[]
16162,[]
15921,['Wisden Cricketer of the Year 1907']
16098,[]
16097,[]
16096,[]
589892,[]
16095,[]
15931,[]
409574,[]
16094,[]
304739,[]
537808,[]
16812,[]
424204,[]
16624,[]
16623,[]
16326,[]
16332,[]
899259,[]
16622,[]
16621,[]
16331,['Wisden Cricketer of the Year 1954']
16329,[]
16722,[]
16620,[]
16811,[]
16619,[]
638820,[]
16998,[]
17518,[]
17517,[]
17777,[]
17516,[]
17515,[]
17514,[]
16997,[]
17513,[]
17863,[]
400946,[]
634301,[]
17512,[]
876671,[]
589060,[]
17511,[]
17510,[]
17776,[]
15920,[]
16093,[]
15919,[]
16092,[]
15917,"['Wisden Cricketer of the Year 1970', 'Walter Lawrence Trophy 1976']"
16149,[]
574701,[]
16091,[]
15907,[]
16150,[]
461158,[]
16089,[]
16087,[]
15915,['Awarded the OBE in December 2006']
915023,[]
16090,[]
16088,[]
16086,[]
15913,[]
16325,[]
589916,[]
16324,['Wisden Cricketer of the Year 1958']
1018585,[]
16315,[]
16322,[]
535959,[]
16841,[]
359565,[]
324099,[]
16618,[]
16617,[]
16616,[]
53801,[]
16615,[]
53899,[]
16320,"['Walter Lawrence Trophy 1996', 'Walter Lawrence Trophy 1997']"
16614,[]
589174,[]
1098006,[]
17509,[]
17508,[]
297634,[]
17507,[]
17862,[]
17506,[]
465823,[]
745723,[]
1036005,[]
16991,[]
17505,[]
16995,['Wisden Cricketer of the Year 1904']
1099245,[]
16994,[]
16993,['Wisden Cricketer of the Year 1912']
587604,[]
645459,[]
513006,[]
16085,[]
16157,[]
16084,[]
16083,[]
358259,[]
301532,[]
16148,[]
16082,[]
16147,[]
16081,[]
635759,[]
16146,[]
15911,['Wisden Cricketer of the Year 1915']
330428,[]
15948,[]
16115,[]
16145,[]
15910,[]
15909,[]
361700,[]
901655,[]
16318,[]
16810,[]
16316,[]
16314,[]
16613,[]
16313,[]
1023177,[]
366041,[]
16312,[]
16612,[]
16611,[]
403902,[]
16311,[]
1007851,[]
16610,[]
16397,[]
16721,[]
916259,[]
916279,[]
350688,[]
914833,[]
400897,[]
521170,[]
1114711,[]
1015241,[]
1022073,[]
575666,[]
1148980,[]
570241,[]
268574,[]
406467,[]
859911,[]
1046785,[]
15908,['Wisden Cricketer of the Year 1904']
331466,[]
16144,[]
16156,[]
16080,[]
16079,[]
15906,[]
16143,[]
16078,[]
16077,[]
915035,[]
15929,[]
575001,[]
16076,[]
412615,[]
16075,[]
297477,[]
372735,[]
568981,[]
16609,[]
16309,[]
16608,[]
16607,[]
16606,[]
16605,[]
535410,[]
16308,[]
16809,[]
16853,[]
16604,[]
16603,[]
16601,[]
16600,[]
16417,[]
16808,[]
16599,[]
16598,[]
16597,[]
1047427,[]
879339,[]
567039,[]
246742,"['1997-1999: Umpire, Durham County League', '2000-date: Umpire, North East Premier League', '2003-date: Umpire, Durham Cricket Club Umpire Panel', '2007-date: Umpire, Minor Counties Cricket Association. ']"
914829,[]
858051,[]
359191,[]
254234,[]
359187,[]
1148781,[]
1150356,[]
1149830,[]
877925,[]
472337,[]
877985,[]
1146125,[]
878077,[]
462426,[]
360528,[]
324992,[]
509145,[]
308246,[]
297604,[]
885371,[]
521005,[]
53794,[]
758625,[]
16142,[]
16141,[]
16074,[]
15905,[]
914743,[]
16073,[]
15902,[]
15904,[]
16072,[]
770733,[]
351570,[]
16140,[]
16071,[]
16596,[]
16595,[]
16307,[]
16720,[]
16306,['NBC Denis Compton Award 1999']
16304,[]
16594,[]
16303,[]
16593,[]
463668,[]
16806,[]
1007823,[]
16302,[]
16805,[]
16804,[]
16301,[]
16592,[]
782479,[]
1146700,[]
583754,[]
1120320,[]
879337,[]
16807,[]
1151871,[]
